Appliance_ID,Purchase_Date,Appliance_Category,Brand,Purchase_Channel,Region,City,Purchase_Price_INR,Appliance_Age_Years,Household_Size,Daily_Usage_Hours,Annual_Usage_Hours,Usage_Intensity_Score,Service_Calls_Last_12M,Repair_History,Prior_Claims,Extended_Warranty,Claim_Filed,Claim_Outcome,Claim_Amount_INR,Claim_Probability,Claim_Risk_Level,Suggested_Annual_Premium_INR,Customer_Satisfaction
APP-00012,2022-07-15,Washing Machine,Blue Star,Online Marketplace,South,Hyderabad,19000,3.8,4,3.5,1239.0,2.6,2,Yes,0,No,1,Partially Approved,19000,0.3028,Medium,600,3.5
APP-00013,2023-12-12,Refrigerator,IFB,Online Marketplace,Central,Raipur,56000,2.3,5,5.9,2471.0,5.0,1,Yes,0,No,0,No Claim,0,0.1862,Medium,1800,2.8
APP-00014,2024-06-04,Microwave,Blue Star,Authorized Dealer,East,Bhubaneswar,14500,3.0,7,2.1,853.0,2.7,1,Yes,1,Yes,1,Approved,9500,0.2255,Medium,500,2.7
APP-00015,2022-08-21,Refrigerator,Voltas,Authorized Dealer,North,Dehradun,20500,0.2,2,4.4,1740.0,3.0,0,No,0,Yes,0,No Claim,0,0.0426,Low,500,3.7
APP-00016,2024-09-20,Air Conditioner,Whirlpool,Authorized Dealer,North,Delhi,43000,0.2,4,7.4,2666.0,5.6,0,No,0,No,0,No Claim,0,0.0439,Low,1100,3.7
APP-00017,2025-08-25,Refrigerator,LG,Authorized Dealer,South,Chennai,40000,4.8,1,2.5,1047.0,1.5,1,Yes,0,Yes,0,No Claim,0,0.1745,Low,1000,4.8
APP-00018,2025-04-01,Washing Machine,Whirlpool,Authorized Dealer,South,Kochi,24000,7.7,1,2.9,974.0,1.9,1,Yes,0,Yes,1,Approved,22500,0.4435,High,1000,4.7
APP-00019,2024-08-03,Washing Machine,Panasonic,Authorized Dealer,East,Patna,31000,4.8,2,1.4,571.0,1.2,1,Yes,1,Yes,0,No Claim,0,0.343,Medium,1000,4.1
APP-00020,2021-09-21,Washing Machine,LG,Online Marketplace,South,Thiruvananthapuram,50000,2.0,2,4.0,1365.0,2.8,1,Yes,1,No,0,No Claim,0,0.1736,Low,1200,3.7
APP-00021,2022-03-04,Refrigerator,LG,Authorized Dealer,West,Surat,71000,0.7,2,7.6,2662.0,4.9,1,Yes,0,No,0,No Claim,0,0.0534,Low,1800,3.5
APP-00022,2022-05-04,Microwave,IFB,Online Marketplace,East,Kolkata,13000,5.2,1,1.5,550.0,1.2,2,Yes,0,No,0,No Claim,0,0.3217,Medium,400,3.9
APP-00023,2023-03-18,Air Conditioner,Voltas,Authorized Dealer,North,Amritsar,32000,3.3,4,6.8,2378.0,4.6,0,No,0,No,0,No Claim,0,0.1405,Low,800,4.8
APP-00024,2021-09-21,Washing Machine,O General,Authorized Dealer,East,Kolkata,54000,2.3,3,3.0,1009.0,2.5,1,Yes,1,No,0,No Claim,0,0.1408,Low,1400,4.4
APP-00025,2022-09-16,Air Conditioner,Haier,Authorized Dealer,North,Jaipur,42500,3.3,6,8.4,3248.0,6.2,2,Yes,1,No,0,No Claim,0,0.4195,Medium,1400,3.6
APP-00026,2024-01-30,Refrigerator,Godrej,Online Marketplace,West,Nagpur,50500,6.6,3,4.3,1741.0,3.3,0,No,0,No,1,Approved,46500,0.4013,Medium,1600,3.6
APP-00027,2024-01-08,Refrigerator,Samsung,Online Marketplace,North,Delhi,17500,1.4,5,2.0,715.0,2.5,0,No,0,Yes,1,Approved,7000,0.08,Low,400,4.3
APP-00028,2025-08-06,Air Conditioner,Haier,Authorized Dealer,East,Patna,28000,3.6,4,11.1,4089.0,7.3,0,No,0,No,0,No Claim,0,0.1975,Medium,900,4.2
APP-00029,2022-04-16,Refrigerator,LG,Online Marketplace,South,Thiruvananthapuram,37000,1.6,6,10.1,3693.0,7.3,1,Yes,0,Yes,0,No Claim,0,0.1777,Low,900,3.5
APP-00030,2022-11-04,Microwave,IFB,Online Marketplace,Central,Jabalpur,8500,0.9,3,2.1,781.0,1.8,1,Yes,1,Yes,0,No Claim,0,0.1467,Low,200,3.6
APP-00031,2025-10-22,Refrigerator,Blue Star,Unauthorized Reseller,West,Surat,21500,0.6,4,3.5,1416.0,3.2,0,No,0,Yes,0,No Claim,0,0.0999,Low,500,4.2
APP-00032,2023-09-27,Refrigerator,Voltas,Online Marketplace,West,Mumbai,41000,4.1,1,5.2,2117.0,2.9,2,Yes,0,Yes,1,Approved,38500,0.3473,Medium,1300,4.6
APP-00033,2021-04-17,Air Conditioner,LG,Online Marketplace,North,Jaipur,46500,4.2,7,10.1,3654.0,7.9,1,Yes,0,No,0,No Claim,0,0.3475,Medium,1500,4.2
APP-00034,2025-01-24,Refrigerator,Voltas,Authorized Dealer,South,Bengaluru,38500,0.2,7,9.8,3557.0,7.7,1,Yes,0,No,0,No Claim,0,0.0921,Low,1000,4.6
APP-00035,2021-03-05,Refrigerator,Voltas,Online Marketplace,South,Bengaluru,50500,4.1,2,5.3,2185.0,4.0,3,Yes,1,No,1,Approved,57500,0.5362,High,2200,3.2
APP-00036,2023-02-25,Refrigerator,Whirlpool,Authorized Dealer,Northeast,Agartala,49000,0.6,7,8.6,3391.0,6.5,1,Yes,1,Yes,0,No Claim,0,0.1622,Low,1200,4.0
APP-00037,2021-08-06,Refrigerator,Onida,Online Marketplace,South,Kochi,39500,0.8,7,4.0,1391.0,4.4,0,No,0,Yes,0,No Claim,0,0.1107,Low,1000,5.0
APP-00038,2023-09-12,Air Conditioner,LG,Authorized Dealer,North,Jaipur,46000,2.8,6,10.9,4338.0,8.1,2,Yes,1,No,1,Rejected,38000,0.334,Medium,1500,4.5
APP-00039,2023-07-04,Washing Machine,Panasonic,Online Marketplace,West,Nagpur,30500,1.1,1,1.1,358.0,0.6,0,No,0,Yes,0,No Claim,0,0.07,Low,800,4.5
APP-00040,2021-05-02,Washing Machine,Whirlpool,Online Marketplace,East,Siliguri,24500,1.3,7,5.0,1650.0,4.8,0,No,0,No,0,No Claim,0,0.1035,Low,600,3.7
APP-00041,2021-07-12,Air Conditioner,Samsung,Online Marketplace,Central,Raipur,55500,4.4,1,11.2,3873.0,6.8,1,Yes,1,Yes,0,No Claim,0,0.4675,High,2400,2.9
APP-00042,2024-02-23,Microwave,Blue Star,Authorized Dealer,West,Ahmedabad,8500,2.6,7,0.7,228.0,2.1,0,No,0,No,0,No Claim,0,0.0741,Low,200,3.6
APP-00043,2022-09-18,Air Conditioner,Whirlpool,Unauthorized Reseller,East,Ranchi,93000,9.1,3,3.3,1041.0,2.7,3,Yes,1,Yes,1,Partially Approved,139500,0.918,High,4100,3.1
APP-00044,2023-12-12,Washing Machine,Samsung,Authorized Dealer,South,Thiruvananthapuram,40500,7.5,2,2.2,727.0,1.9,1,Yes,0,No,1,Approved,45000,0.3698,Medium,1300,3.5
APP-00045,2022-10-25,Air Conditioner,Haier,Authorized Dealer,West,Nagpur,49000,9.5,6,6.1,2239.0,5.4,2,Yes,2,Yes,1,Approved,63500,0.9283,High,2100,3.0
APP-00046,2024-12-28,Air Conditioner,Panasonic,Authorized Dealer,South,Coimbatore,19500,5.8,2,12.1,4178.0,7.9,3,Yes,1,Yes,0,No Claim,0,0.7255,High,900,1.9
APP-00047,2025-01-05,Refrigerator,IFB,Authorized Dealer,East,Ranchi,40500,1.5,2,10.5,3772.0,7.0,1,Yes,2,No,0,No Claim,0,0.268,Medium,1300,4.3
APP-00048,2021-08-06,Air Conditioner,Whirlpool,Authorized Dealer,South,Bengaluru,44000,0.4,5,10.1,3499.0,7.4,1,Yes,1,No,0,No Claim,0,0.1306,Low,1100,4.0
APP-00049,2022-07-20,Air Conditioner,Whirlpool,Authorized Dealer,Northeast,Shillong,67000,2.8,3,11.2,3746.0,6.9,1,Yes,1,Yes,1,Approved,45000,0.2886,Medium,2100,4.4
APP-00050,2022-05-22,Washing Machine,LG,Authorized Dealer,Northeast,Guwahati,39000,3.8,4,4.1,1403.0,3.5,1,Yes,0,Yes,0,No Claim,0,0.1798,Low,1000,3.9
APP-00051,2025-07-29,Refrigerator,Haier,Online Marketplace,North,Amritsar,53000,2.6,7,8.1,2774.0,6.7,2,Yes,1,No,1,Approved,39500,0.4546,High,2300,3.5
APP-00052,2022-08-09,Microwave,Godrej,Authorized Dealer,East,Ranchi,18500,3.6,6,1.6,499.0,2.8,1,Yes,1,Yes,0,No Claim,0,0.2825,Medium,600,4.7
APP-00053,2025-04-07,Air Conditioner,Voltas,Authorized Dealer,West,Vadodara,100000,1.6,4,9.4,3372.0,6.2,2,Yes,1,No,0,No Claim,0,0.2546,Medium,3200,2.1
APP-00054,2024-03-14,Air Conditioner,Haier,Online Marketplace,Northeast,Imphal,31500,3.5,3,3.3,1265.0,2.3,1,Yes,2,Yes,0,No Claim,0,0.5082,High,1400,3.8
APP-00055,2025-01-26,Refrigerator,Voltas, Online Marketplace ,East,Kolkata,39000,0.2,3,11.0,4599.0,6.9,0,No,0,No,0,No Claim,0,0.0812,Low,1000,4.0
APP-00056,2022-02-02,Washing Machine,Haier,Authorized Dealer,East,Bhubaneswar,24000,0.5,2,2.5,779.0,2.3,1,Yes,1,No,0,No Claim,0,0.0932,Low,600,4.0
APP-00057,2022-03-23,Refrigerator,Whirlpool,Authorized Dealer,West,Surat,44500,4.8,2,6.9,2489.0,4.2,2,Yes,1,No,0,No Claim,0,0.4037,Medium,1400,3.7
APP-00058,2023-05-24,Refrigerator,IFB,Authorized Dealer,East,Patna,28000,0.3,4,10.4,3440.0,7.2,0,No,0,No,0,No Claim,0,0.0604,Low,700,4.0
APP-00059,2023-11-18,Microwave,Panasonic,Authorized Dealer,North,Jaipur,17000,0.5,1,1.5,586.0,1.2,0,No,0,No,0,No Claim,0,0.0267,Low,400,4.6
APP-00060,2021-06-28,Air Conditioner,Whirlpool,Authorized Dealer,West,Pune,90500,8.7,5,6.4,2647.0,4.8,1,Yes,0,No,1,Partially Approved,110500,0.5994,High,4000,4.1
APP-00061,2021-03-06,Microwave,Voltas,Authorized Dealer,West,Nagpur,19500,9.5,6,1.1,424.0,2.4,2,Yes,0,Yes,1,Rejected,25000,0.7193,High,900,3.9
APP-00062,2022-05-19,Washing Machine,Bosch,Authorized Dealer,South,Hyderabad,38500,0.2,3,2.3,795.0,2.3,0,No,0,Yes,0,No Claim,0,0.036,Low,1000,5
APP-00063,2022-09-04,Refrigerator,Whirlpool,Authorized Dealer,South,Hyderabad,50000,4.9,6,8.3,3454.0,6.0,2,Yes,2,No,1,Partially Approved,46500,0.6367,High,2200,3.3
APP-00064,2023-10-02,Refrigerator,Whirlpool,Unauthorized Reseller,West,Nagpur,38000,0.2,2,9.4,3399.0,5.9,3,Yes,0,No,0,No Claim,0,0.2039,Medium,1200,3.9
APP-00065,2022-06-29,Refrigerator,IFB,Online Marketplace,Central,Indore,52500,3.4,4,9.1,3022.0,6.4,1,Yes,1,Yes,0,No Claim,0,0.4462,High,2300,3.8
APP-00066,2023-06-09,Washing Machine,Godrej,Authorized Dealer,North,Amritsar,19000,0.2,7,2.7,1004.0,3.6,1,Yes,2,No,0,No Claim,0,0.1894,Medium,600,3.6
APP-00067,2024-03-06,Refrigerator,Bosch,Authorized Dealer,South,Coimbatore,36000,2.1,5,8.3,3265.0,6.2,1,Yes,0,No,0,No Claim,0,0.1156,Low,900,4.2
APP-00068,2024-11-25,Refrigerator,Voltas,Authorized Dealer,Central,Jabalpur,40000,0.4,3,7.0,2474.0,4.5,1,Yes,0,No,0,No Claim,0,0.0653,Low,1000,3.8
APP-00069,2022-02-02,Refrigerator,Onida,Authorized Dealer,South,Thiruvananthapuram,72500,0.5,6,7.3,2383.0,6.0,1,Yes,0,Yes,0,No Claim,0,0.1056,Low,1800,4.7
APP-00070,2021-02-06,Washing Machine,Haier,Online Marketplace,West,Mumbai,18500,7.5,4,2.1,861.0,2.4,1,Yes,0,No,1,Approved,20000,0.5698,High,800,4.5
APP-00071,2021-01-20,Air Conditioner,Panasonic,Online Marketplace,South,Bengaluru,37000,7.5,3,10.6,3375.0,6.6,3,Yes,1,No,1,Approved,52500,0.8583,High,1600,3.3
APP-00072,2024-05-13,Refrigerator,Voltas,Authorized Dealer,South,Thiruvananthapuram,22500,0.2,3,8.9,3554.0,5.9,1,Yes,1,Yes,0,No Claim,0,0.131,Low,600,4.6
APP-00073,2023-12-24,Air Conditioner,Panasonic,Authorized Dealer,West,Surat,28000,2.7,1,7.1,2945.0,4.3,1,Yes,0,No,0,No Claim,0,0.1262,Low,700,3.3
APP-00074,2025-07-26,Washing Machine,O General,Authorized Dealer,South,Hyderabad,30500,6.2,1,0.9,282.0,0.6,1,Yes,2,Yes,1,Partially Approved,33000,0.5245,High,1300,5
APP-00075,2022-08-30,Washing Machine,LG,Authorized Dealer,West,Ahmedabad,21500,1.5,2,2.9,1041.0,1.9,0,No,0,No,0,No Claim,0,0.0435,Low,500,4.1
APP-00076,2022-11-02,Washing Machine,Godrej,Authorized Dealer,North,Chandigarh,33500,0.8,2,2.6,890.0,2.2,0,No,0,No,0,No Claim,0,0.0466,Low,800,3.6
APP-00077,2025-12-16,Air Conditioner,LG,Authorized Dealer,East,Bhubaneswar,29000,1.0,6,6.7,2571.0,5.8,0,No,0,Yes,0,No Claim,0,0.0667,Low,700,3.9
APP-00078,2021-04-29,Air Conditioner,Bosch,Authorized Dealer,East,Kolkata,74000,1.1,2,9.0,3573.0,5.8,1,Yes,0,Yes,0,No Claim,0,0.0876,Low,1800,3.5
APP-00079,2021-01-06,Refrigerator,Whirlpool,Authorized Dealer,North,Lucknow,72000,7.4,4,8.2,3052.0,5.9,3,Yes,2,Yes,1,Partially Approved,99500,0.8641,High,3200,2.9
APP-00080,2024-11-01,Air Conditioner,Panasonic,Authorized Dealer,West,Nagpur,57500,2.3,2,5.7,2209.0,4.2,1,Yes,1,No,1,Approved,33500,0.1755,Low,1400,3.1
APP-00081,2021-06-12,Microwave,Whirlpool,Online Marketplace,South,Coimbatore,29500,1.9,2,2.5,1024.0,1.8,0,No,0,No,0,No Claim,0,0.0649,Low,700,3.2
APP-00082,2022-01-06,Microwave,Godrej,Authorized Dealer,East,Ranchi,14500,2.7,3,,1290.0,2.6,0,No,0,No,0,No Claim,0,0.0798,Low,400,4.3
APP-00083,2021-10-22,Washing Machine,Panasonic,Authorized Dealer,East,Guwahati,31500,2.1,1,1.8,637.0,0.9,1,Yes,1,No,1,Rejected,20000,0.133,Low,800,3.7
APP-00084,2023-10-13,Washing Machine,Onida,Authorized Dealer,Northeast,Shillong,28500,2.9,2,0.3,117.0,0.7,1,Yes,1,No,1,Approved,19500,0.1856,Medium,900,3.3
APP-00085,2024-04-28,Washing Machine,Bosch,Authorized Dealer,East,Siliguri,49500,4.5,1,3.2,1052.0,2.0,3,Yes,1,Yes,0,No Claim,0,0.4395,High,2200,3.0
APP-00086,2021-03-12,Microwave,Voltas,Authorized Dealer,East,Patna,20000,4.0,1,0.8,275.0,0.3,0,No,0,No,0,No Claim,0,0.091,Low,500,3.8
APP-00087,2025-08-20,Refrigerator,Samsung,Authorized Dealer,South,Chennai,43500,2.0,2,6.5,2461.0,4.6,1,Yes,1,Yes,0,No Claim,0,0.1571,Low,1100,3.7
APP-00088,2021-07-08,Refrigerator,Haier,Online Marketplace,South,Thiruvananthapuram,21000,0.5,3,6.3,2438.0,4.4,1,Yes,0,No,1,Partially Approved,10000,0.0974,Low,500,3.8
APP-00089,2023-04-29,Washing Machine,Haier,Online Marketplace,East,Guwahati,32500,2.2,4,5.2,1853.0,4.0,1,Yes,1,No,1,Approved,18000,0.2801,Medium,1000,3.6
APP-00090,2021-12-30,Air Conditioner,Haier,Authorized Dealer,North,Dehradun,35000,5.5,7,7.8,2923.0,6.3,1,Yes,0,Yes,0,No Claim,0,0.4559,High,1500,4.5
APP-00091,2021-06-24,Microwave,Haier,Online Marketplace,South,Bengaluru,10500,2.8,2,,416.0,1.5,0,No,0,No,0,No Claim,0,0.0987,Low,300,3.1
APP-00092,2025-03-09,Air Conditioner,Haier,Unauthorized Reseller,East,Guwahati,88500,1.2,1,11.9,4723.0,7.5,2,Yes,1,No,1,Approved,58000,0.3913,Medium,2800,4.2
APP-00093,2025-06-16,Air Conditioner,Whirlpool,Unauthorized Reseller,East,Patna,71500,7.1,4,5.6,2020.0,4.4,2,Yes,1,No,1,Approved,88000,0.7979,High,3100,3.9
APP-00094,2022-08-22,Air Conditioner,Voltas,Authorized Dealer,Northeast,Imphal,96500,2.1,5,9.1,3175.0,6.5,2,Yes,1,Yes,1,Approved,89000,0.3414,Medium,3100,3.1
APP-00095,2022-02-22,Refrigerator,Voltas,Authorized Dealer,North,Delhi,78000,4.4,6,9.8,3266.0,7.2,3,Yes,2,No,1,Approved,96500,0.7223,High,3400,3.1
APP-00096,2025-08-01,Washing Machine,LG,Authorized Dealer,East,Kolkata,37500,0.2,5,3.0,1033.0,3.2,0,Yes,0,Yes,0,No Claim,0,0.0401,Low,900,4.3
APP-00097,2022-02-25,Microwave,Godrej,Online Marketplace,North,Amritsar,12000,2.6,5,2.2,845.0,2.9,1,Yes,1,No,1,Approved,9500,0.2468,Medium,400,4.5
APP-00098,2025-11-29,Washing Machine,Whirlpool,Authorized Dealer,South,Hyderabad,37000,1.3,7,2.7,858.0,3.6,2,Yes,0,Yes,0,No Claim,0,0.1351,Low,900,4.1
APP-00099,2025-01-26,Refrigerator,O General,Unauthorized Reseller,Central,Bhopal,54500,0.2,3,5.3,1702.0,3.8,1,Yes,1,No,0,No Claim,0,0.1483,Low,1400,3.4
APP-00100,2023-08-05,Microwave,LG,Authorized Dealer,North,Dehradun,3500,3.2,6,1.3,416.0,2.1,0,No,0,Yes,0,No Claim,0,0.0888,Low,100,4.2
APP-00101,2024-12-12,Washing Machine,Samsung,Authorized Dealer,Northeast,Guwahati,28500,4.6,2,1.9,626.0,1.2,0,No,0,No,0,No Claim,0,0.1241,Low,700,3.5
APP-00102,2021-09-27,Air Conditioner,Samsung,Authorized Dealer,West,Vadodara,83000,3.2,2,13.3,5576.0,8.1,2,Yes,2,Yes,1,Partially Approved,72500,0.5255,High,3600,4.2
APP-00103,2022-03-21,Refrigerator,Haier,Authorized Dealer,Northeast,Guwahati,43000,5.4,7,5.2,2090.0,5.1,2,Yes,1,No,0,No Claim,0,0.5695,High,1900,3.1
APP-00104,2024-05-13,Microwave,Whirlpool,Online Marketplace,South,Thiruvananthapuram,13000,0.8,4,0.2,72.0,1.2,1,Yes,0,Yes,0,No Claim,0,0.0716,Low,300,2.2
APP-00105,2023-08-11,Washing Machine,Samsung,Authorized Dealer,East,Ranchi,35500,0.8,3,2.4,826.0,2.1,0,No,0,No,0,No Claim,0,0.037,Low,900,3.7
APP-00106,2021-09-26,Air Conditioner,Samsung,Online Marketplace,North,Dehradun,24500,2.1,6,6.9,2793.0,5.3,2,Yes,2,Yes,0,No Claim,0,0.4978,High,1100,3.2
APP-00107,2022-11-07,Refrigerator,Whirlpool,Authorized Dealer,North,Dehradun,29500,4.1,7,4.8,1716.0,4.7,0,No,0,Yes,0,No Claim,0,0.1892,Medium,900,4.5
APP-00108,2025-09-23,Air Conditioner,IFB,Authorized Dealer,North,Jaipur,87000,1.6,6,5.7,2266.0,5.0,0,No,0,No,0,No Claim,0,0.0866,Low,2200,4.4
APP-00109,2022-01-15,Microwave,Haier,Authorized Dealer,South,Coimbatore,10000,1.8,2,1.3,507.0,1.1,1,Yes,1,Yes,0,No Claim,0,0.1283,Low,200,4.8
APP-00110,2023-06-12,Washing Machine,Haier,Authorized Dealer,Central,Indore,38000,4.4,7,4.4,1513.0,4.6,2,Yes,0,No,1,Approved,41000,0.3571,Medium,1200,4.0
APP-00111,2025-06-13,Washing Machine,LG,Authorized Dealer,West,Ahmedabad,23000,9.5,3,2.3,945.0,2.0,1,Yes,0,Yes,1,Partially Approved,25000,0.6018,High,1000,3.1
APP-00112,2023-02-10,Refrigerator,Onida,Online Marketplace,Central,Indore,42500,2.7,4,10.4,3946.0,6.9,3,Yes,1,No,1,Approved,44000,0.5382,High,1900,3.1
APP-00113,2025-11-18,Microwave,Panasonic,Authorized Dealer,North,Delhi,13000,1.5,1,1.1,407.0,0.8,1,Yes,1,No,0,No Claim,0,0.0856,Low,300,3.4
APP-00114,2022-05-12,Washing Machine,Godrej,Unauthorized Reseller,North,Amritsar,26500,0.2,6,2.2,804.0,2.4,1,Yes,1,No,0,No Claim,0,0.2135,Medium,800,3.2
APP-00115,2021-05-27,Air Conditioner,Onida,Online Marketplace,Northeast,Guwahati,57000,3.2,7,12.0,3871.0,8.5,1,Yes,1,Yes,1,Approved,39500,0.5533,High,2500,3.0
APP-00116,2023-09-26,Washing Machine,Onida,Authorized Dealer,South,Chennai,19500,1.4,1,3.1,1046.0,1.9,2,Yes,3,Yes,0,No Claim,0,0.4192,Medium,600,3.1
APP-00117,2023-12-15,Microwave,Samsung,Unauthorized Reseller,West,Pune,8000,7.3,3,2.8,1172.0,2.6,2,Yes,1,No,1,Partially Approved,10500,0.7209,High,400,3.6
APP-00118,2022-08-09,Washing Machine,Panasonic,Online Marketplace,South,Coimbatore,16500,7.2,6,3.8,1457.0,3.6,3,Yes,1,Yes,1,Approved,20500,0.8484,High,700,2.6
APP-00119,2025-12-15,Washing Machine,O General,Authorized Dealer,North,Jaipur,31500,0.2,2,1.2,444.0,1.2,1,Yes,2,No,0,No Claim,0,0.0985,Low,800,3.8
APP-00120,2023-12-05,Washing Machine,Godrej,Authorized Dealer,North,Lucknow,34500,0.8,2,1.7,652.0,1.7,0,No,0,Yes,0,No Claim,0,0.0526,Low,900,3.9
APP-00121,2024-11-04,Washing Machine,IFB,Online Marketplace,Central,Indore,23000,9.5,7,1.1,344.0,2.3,1,Yes,1,No,1,Partially Approved,29000,0.8444,High,1000,3.2
APP-00122,2022-01-28,Washing Machine,Onida,Authorized Dealer,East,Patna,41500,0.2,4,0.9,350.0,1.4,1,Yes,0,Yes,0,No Claim,0,0.0646,Low,1000,4.2
APP-00123,2022-02-16,Refrigerator,LG,Online Marketplace,North,Jaipur,72000,1.5,4,10.5,3616.0,7.4,0,Yes,0,No,0,No Claim,0,0.1002,Low,1800,4.7
APP-00124,2025-06-14,Refrigerator,Blue Star,Online Marketplace,South,Bengaluru,40500,1.3,6,5.4,1699.0,4.8,2,Yes,1,Yes,0,No Claim,0,0.2942,Medium,1300,3.5
APP-00125,2022-09-27,Air Conditioner,Haier,Authorized Dealer,Northeast,Agartala,69500,2.3,7,6.9,2459.0,6.0,2,Yes,1,Yes,1,Rejected,56500,0.3694,Medium,2200,3.7
APP-00126,2025-08-16,Air Conditioner,Bosch,Authorized Dealer,East,Patna,58500,4.3,1,11.4,3546.0,6.6,3,Yes,2,Yes,1,Approved,72000,0.6626,High,2600,3.1
APP-00127,2022-02-01,Washing Machine,Haier,Authorized Dealer,Northeast,Guwahati,30500,9.5,5,1.4,444.0,2.3,2,Yes,2,No,1,Partially Approved,42000,0.8888,High,1300,3.4
APP-00128,2024-10-13,Refrigerator,LG,Authorized Dealer,West,Nagpur,28500,2.5,4,7.2,2533.0,5.3,1,Yes,0,No,0,No Claim,0,0.1098,Low,700,3.3
APP-00129,2025-12-21,Washing Machine,Onida,Authorized Dealer,East,Bhubaneswar,45500,0.2,7,1.2,424.0,2.1,0,No,0,Yes,0,No Claim,0,0.0587,Low,1100,3.7
APP-00130,2022-01-18,Air Conditioner,Godrej,Online Marketplace,Northeast,Guwahati,70500,0.6,1,9.9,3365.0,5.6,1,Yes,1,No,1,Partially Approved,32000,0.1833,Medium,2300,3.1
APP-00131,2021-06-11,Microwave,Voltas,Authorized Dealer,South,Chennai,8000,3.4,7,3.0,1127.0,3.5,1,Yes,1,Yes,1,Approved,5500,0.2866,Medium,300,4.2
APP-00132,2025-12-08,Refrigerator,Blue Star,Authorized Dealer,West,Pune,39000,1.1,6,8.7,3505.0,6.3,3,Yes,2,No,0,No Claim,0,0.3891,Medium,1200,1.6
APP-00133,2024-11-24,Air Conditioner,Haier,Online Marketplace,West,Vadodara,33000,1.0,3,10.7,4300.0,7.2,1,Yes,1,No,0,No Claim,0,0.2354,Medium,1100,2.9
APP-00134,2025-03-09,Air Conditioner,O General,Authorized Dealer,South,Coimbatore,136000,1.2,3,5.3,2063.0,3.7,1,Yes,1,Yes,0,No Claim,0,0.1248,Low,3400,4.7
APP-00135,2024-01-15,Microwave,Whirlpool,Authorized Dealer,North,Jaipur,19000,3.6,3,2.1,844.0,2.3,1,Yes,1,Yes,1,Rejected,16000,0.2088,Medium,600,3.1
APP-00136,2024-11-19,Air Conditioner,Samsung,Authorized Dealer,Northeast,Imphal,42000,7.1,2,8.5,2687.0,5.6,1,Yes,0,Yes,0,No Claim,0,0.4569,High,1800,4.5
APP-00137,2024-08-27,Air Conditioner,Blue Star,Online Marketplace,North,Dehradun,28000,2.9,2,9.8,3389.0,6.3,1,Yes,1,Yes,0,No Claim,0,0.3592,Medium,900,4.4
APP-00138,2022-02-19,Refrigerator,IFB,Authorized Dealer,West,Vadodara,35000,3.1,3,4.2,1418.0,3.2,1,Yes,0,No,0,No Claim,0,0.1393,Low,900,3.6
